Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2011,,StŒStephensŒCourt,St Stephens Court,
2011,,staffordŒst,stafford st,
2011,,StaffordŒSt,Stafford St,
2011,,StaffordŒstreet,Stafford street,
2011,," StanleyŒStreet,ŒBloxwich"," Stanley Street, Bloxwich",
2011,,stephensonŒavenue,stephenson avenue,
2011,,StevensonŒSqŒWalsall,Stevenson Sq Walsall,
2011,,stoneyŒlane,stoney lane,
2011,,stoneyŒlane,stoney lane,
2011,,StoneyŒLaneŒWalsall,Stoney Lane Walsall,
2011,,tameŒstreet,tame street,
2011,,TannersŒCourtŒGlebeŒStreetŒCaldmoreŒWalsall,Tanners Court Glebe Street Caldmore Walsall,
2011,,telfordŒroad,telford road,
2011,," TESCO,ŒLittletonŒStreet,ŒWalsall"," TESCO, Littleton Street, Walsall",
2011,,TheŒBridgeŒTownŒCentreŒWalsall,The Bridge Town Centre Walsall,
2011,,TheŒBridgeŒWalsall,The Bridge Walsall,
2011,," TheŒBridge,ŒWalsall"," The Bridge, Walsall",
2011,,theŒgreenŒdarlaston,the green darlaston,
2011,,ThomasŒHouseŒBloxwichŒStoneyŒLane,Thomas House Bloxwich Stoney Lane,
2011,," VarsistyŒ,ŒLeicesterŒstŒwalsall"," Varsisty , Leicester st walsall",
2011,," VictoriaŒAvenue,ŒBloxwich."," Victoria Avenue, Bloxwich.",
2011,,VillageŒhotel,Village hotel,
2011,," villageŒhotel,Œwalsall"," village hotel, walsall",
2011,,WalhouseŒRd,Walhouse Rd,
2011,,walkerŒroad,walker road,
2011,,WalsallŒBusŒStation,Walsall Bus Station,
2011,," WalsallŒBusŒStation,ŒStŒPauls."," Walsall Bus Station, St Pauls.",
2011,,walsallŒmanorŒhospital,walsall manor hospital,
2011,,WalsallŒManorŒHospital,Walsall Manor Hospital,
2011,,WalsallŒManorŒHospital,Walsall Manor Hospital,
2011,,walsallŒpoliceŒstation,walsall police station,
2011,,WalsallŒPoliceŒStation,Walsall Police Station,
2011,,WalsallŒPoliceŒStation,Walsall Police Station,
2011,,WALSALLŒPOLICEŒSTATION,WALSALL POLICE STATION,
2011,,walsallŒroad,walsall road,
2011,,WalsallŒroadŒdarlaston,Walsall road darlaston,
2011,,WalsallŒtrainŒstation,Walsall train station,
2011,,WanderersŒWay,Wanderers Way,
2011,,wednesburyŒrd,wednesbury rd,
2011,,WEDNESBURYŒRDŒWALSALL,WEDNESBURY RD WALSALL,
2011,,WednesburyŒRoad,Wednesbury Road,
2011,," WestŒBromwichŒRd,ŒWalsall"," West Bromwich Rd, Walsall",
2011,," WestŒBromwichŒRd,ŒWalsall"," West Bromwich Rd, Walsall",
2011,,WolverhamptonŒRoadŒOldbury,Wolverhampton Road Oldbury,
2011,,WolverhamptonŒRoadŒoldbury,Wolverhampton Road oldbury,
2011,,wolverhamptonŒroadŒwest,wolverhampton road west,
2011,,WolverhamptonŒWandersŒFC,Wolverhampton Wanders FC,
2011,,woodŒendŒroadŒwednesfield,wood end road wednesfield,
2011,,WoodenŒRoadŒwestŒDarlaston,Wooden Road west Darlaston,
2011,,Ws1ŒWalsall,Ws1 Walsall,
2011,Wolverhampton,AŒandŒEŒNewŒCrossŒHospital,A and E New Cross Hospital,
2011,,AlfredŒSquireŒRoad,Alfred Squire Road,
2011,,ArthurŒStŒWolverhampton,Arthur St Wolverhampton,
2011,,asdaŒstoresŒw‰óton,asda stores w‰óton,
2011,,asdaŒstoresŒw‰óton,asda stores w‰óton,
2011,," BadgerŒDrive,ŒParkŒVillage"," Badger Drive, Park Village",
2011,,BellamyŒLane,Bellamy Lane,
2011,,BelmontŒRoad,Belmont Road,
2011,,BelmontŒRoad,Belmont Road,
2011,," BelmontŒRoad,ŒPenn,ŒW‰óton"," Belmont Road, Penn, W‰óton",
2011,,BerryŒStreet,Berry Street,
2011,,BilstonŒBusŒstation,Bilston Bus station,
2011,,BilstonŒLabourŒClub,Bilston Labour Club,
2011,,BilstonŒRoad,Bilston Road,
2011,,BilstonŒRoad,Bilston Road,
2011,,BilstonŒst,Bilston st,
2011,,BilstonŒSt,Bilston St,
2011,,BilstonŒSt,Bilston St,
2011,,BilstonŒStŒWolverhampton,Bilston St Wolverhampton,
2011,," BilstonŒSt,ŒWolverhampton"," Bilston St, Wolverhampton",
2011,,BilstonŒStreet,Bilston Street,
2011,,BilstonŒStreet,Bilston Street,
2011,,BilstonŒStreet,Bilston Street,
2011,,BilstonŒStreet,Bilston Street,
2011,,BilstonŒStreet,Bilston Street,
2011,,BilstonŒstreet,Bilston street,
2011,,BilstonŒStreet,Bilston Street,
2011,,BilstonŒstreet,Bilston street,
2011,,BilstonŒStreet,Bilston Street,
2011,,BilstonŒStreet,Bilston Street,
2011,,BlackhalveŒLane,Blackhalve Lane,
2011,,bradfordŒstreet.Œwalsalll,bradford street. walsalll,
2011,,BrantleyŒAve,Brantley Ave,
2011,,BrantleyŒAvenue,Brantley Avenue,
2011,,BroadŒStŒWolverhampton,Broad St Wolverhampton,
2011,," broadŒSt,Œwolverhampton"," broad St, wolverhampton",
2011,," BroadŒSt,ŒWolves."," Broad St, Wolves.",
2011,," BroadŒSt,ŒWolves."," Broad St, Wolves.",
2011,,BroadŒStreet,Broad Street,
2011,,BroadŒstreet,Broad street,
2011,," BroadŒStreet,Œwolverhampton"," Broad Street, wolverhampton",
2011,," BroadŒStreet,ŒWolverhampton"," Broad Street, Wolverhampton",
2011,," BroadŒStreet,ŒW'ton."," Broad Street, W'ton.",
2011,,BronwynŒClose,Bronwyn Close,
2011,," BurlesdonŒWalk,ŒWolves."," Burlesdon Walk, Wolves.",
2011,,BusŒStation,Bus Station,
2011,,busŒstationŒpipersŒroad,bus station pipers road,
2011,," BusŒStation,ŒWolverhampton"," Bus Station, Wolverhampton",
2011,," BusŒStation,ŒWolverhampton"," Bus Station, Wolverhampton",
2011,," CampionŒHouse,ŒHeathŒTown,ŒWolverhampton"," Campion House, Heath Town, Wolverhampton",
2011,,CannockŒRdŒWolverhampton,Cannock Rd Wolverhampton,
2011,," CarŒpark,ŒNewŒCrossŒHospital,ŒWolverhampton"," Car park, New Cross Hospital, Wolverhampton",
2011,,castleŒstreetŒcityŒcentre,castle street city centre,
2011,,castleŒstreetŒwolverhampton,castle street wolverhampton,
2011,," ChurchŒStreet,ŒBilston"," Church Street, Bilston",
2011,," CoalwayŒRoad,ŒWton"," Coalway Road, Wton",
2011,,CodsallŒRoad,Codsall Road,
2011,," Co‰óop,ŒHighŒStreet,ŒWednesfield,ŒWton"," Co‰óop, High Street, Wednesfield, Wton",
2011,,daltonŒstŒwolverhampton,dalton st wolverhampton,
2011,,DarlingtonŒSt,Darlington St,
2011,,DarlingtonŒst,Darlington st,
2011,,DudleyŒRoad,Dudley Road,
2011,," DudleyŒRoad,ŒKingswinford"," Dudley Road, Kingswinford",
2011,,dudleyŒstreet,dudley street,
2011,," DudleyŒStreet,ŒWolverhampton"," Dudley Street, Wolverhampton",
2011,,DunstallŒRoad,Dunstall Road,
2011,," DunstallŒRoad,ŒWolverhampton"," Dunstall Road, Wolverhampton",
2011,," EdhamŒRoad,ŒWolverhampton"," Edham Road, Wolverhampton",
2011,,ExchangeŒStreet,Exchange Street,
2011,," ExchangeŒStreet,ŒCityŒCentre,ŒWolverhampton"," Exchange Street, City Centre, Wolverhampton",
2011,,FarndaleŒAvenue,Farndale Avenue,
2011,,FileyŒrdŒŒwolverhampton,Filey rd  wolverhampton,
2011,,FrontŒOffice,Front Office,
2011,,frontŒoffice,front office,
2011,," FrontŒOffice,ŒWolverhamptonŒCentralŒPS"," Front Office, Wolverhampton Central PS",
2011,,FrontŒOffiveŒBilstonŒStreetŒPolŒStn,Front Offive Bilston Street Pol Stn,
2011,,FursŒPublicŒHouse,Furs Public House,
2011,,GAFO,GAFO,
2011,,GarrickŒstreet,Garrick street,
2011,," GarrickŒStreet,Œwolverhampton"," Garrick Street, wolverhampton",
2011,,GreatŒHamptonŒStreet,Great Hampton Street,
2011,,GreatŒHamptonŒStreet,Great Hampton Street,
2011,,GreenparkŒAvenue,Greenpark Avenue,
2011,," HadenŒHill,ŒChapelŒAsh,ŒWolverhampton"," Haden Hill, Chapel Ash, Wolverhampton",
2011,," HartŒRoad,ŒWednesfield,Wton"," Hart Road, Wednesfield,Wton",
2011,,HighŒStŒBilston,High St Bilston,
2011,," IndiŒBar,ŒLichfieldŒStreet"," Indi Bar, Lichfield Street",
2011,,JackŒhaywardŒWay,Jack hayward Way,
2011,,JunctionŒ10Œo/sŒVillageŒHotel,Junction 10 o/s Village Hotel,
2011,," LaurelŒRoad,ŒDudley"," Laurel Road, Dudley",
2011,,LeacroftŒAvenue,Leacroft Avenue,
2011,,LeacroftŒAvenue,Leacroft Avenue,
2011,," LennoxŒGardens,ŒWton"," Lennox Gardens, Wton",
2011,,lewishamŒrdŒwolverhampton,lewisham rd wolverhampton,
2011,,LichfiedlŒStreet,Lichfiedl Street,
2011,,lichfieldŒst,lichfield st,
2011,," lichfieldŒst,ŒcityŒcentre,Œwolves"," lichfield st, city centre, wolves",
2011,," lichfieldŒst,Œwolverhampton"," lichfield st, wolverhampton",
2011,," LichfieldŒSt,ŒWton"," Lichfield St, Wton",
2011,,LichfieldŒStreet,Lichfield Street,
2011,,LichfieldŒStreet,Lichfield Street,
2011,,LichfieldŒStreet,Lichfield Street,
2011,,LichfieldŒStreet,Lichfield Street,
2011,,LichfieldŒStreet,Lichfield Street,
2011,,LichfieldŒStreet,Lichfield Street,
2011,,LichfieldŒStreet,Lichfield Street,
2011,," LichfieldŒStreetŒ@PrincessŒStreet,Œw‰óton"," Lichfield Street @Princess Street, w‰óton",
2011,," LichfieldŒStreet,ŒCityŒCentre,ŒW‰óton"," Lichfield Street, City Centre, W‰óton",
2011,," LichfieldŒStreet,ŒCityŒCentre,ŒW‰óton"," Lichfield Street, City Centre, W‰óton",
2011,," LichfieldŒStreet,ŒWolverhampton."," Lichfield Street, Wolverhampton.",
2011,," LichfieldŒStreet,ŒW'ton."," Lichfield Street, W'ton.",
2011,,lowerŒvilliersŒStreet,lower villiers Street,
2011,,LuntŒRoad,Lunt Road,
2011,,MarketŒStŒwolverhampton,Market St wolverhampton,
2011,," MarketŒst,ŒWolverhampton"," Market st, Wolverhampton",
2011,," MarketŒSt,ŒWolves."," Market St, Wolves.",
2011,," MarketŒSt,ŒWton"," Market St, Wton",
2011,,MarketŒStreet,Market Street,
2011,,MarketŒStreet,Market Street,
2011,,MarketŒStreet,Market Street,
2011,,marketŒStreet,market Street,
2011,,MarketŒStreet,Market Street,
2011,,MarketŒStreet,Market Street,
2011,," MarketŒStreet,ŒCityŒCentre,ŒW‰óton"," Market Street, City Centre, W‰óton",
2011,," MarketŒStreet,ŒWolverhampton"," Market Street, Wolverhampton",
2011,," marketŒstreet,Œwolverhampton"," market street, wolverhampton",
2011,," MarketŒStreet,ŒWolverhampton"," Market Street, Wolverhampton",
2011,," MarketŒStreet,Œwolverhampton"," Market Street, wolverhampton",
2011,," MarketŒStreet,ŒWolverhampton"," Market Street, Wolverhampton",
2011,," MarketŒStreet,ŒWolverhampton."," Market Street, Wolverhampton.",
2011,," MarketŒStreet,ŒWolves"," Market Street, Wolves",
2011,," MarketŒStreet,ŒWolves."," Market Street, Wolves.",
2011,,marsatonŒroad,marsaton road,
2011,,marstonŒRdŒwolverhampton,marston Rd wolverhampton,
2011,," Millcroft,Œwolves."," Millcroft, wolves.",
2011,,MoseleyŒŒRDŒWolverhampton,Moseley  RD Wolverhampton,
2011,," MoseleyŒRoad,ŒBilston."," Moseley Road, Bilston.",
2011,,MountŒPleasant,Mount Pleasant,
2011,," MountŒPlesant,ŒBilston"," Mount Plesant, Bilston",
2011,," nearŒyatesŒwineŒbar,ŒWolvesŒcityŒcentre."," near yates wine bar, Wolves city centre.",
2011,,newŒ|crossŒHospital,new |cross Hospital,
2011,,NewŒCrossŒHospital,New Cross Hospital,
2011,,NewŒcrossŒHospital,New cross Hospital,
2011,,newŒCrossŒHospital,new Cross Hospital,
2011,,NewŒCrossŒHospital,New Cross Hospital,
2011,," NewŒCrossŒhospital,Œwolverhampton"," New Cross hospital, wolverhampton",
2011,," NewŒCrossŒHospital,ŒWolverhampton"," New Cross Hospital, Wolverhampton",
2011,,NewŒXŒHospital,New X Hospital,
2011,," NewŒXŒHospital,ŒW‰óton"," New X Hospital, W‰óton",
2011,,newcrossŒHospital,newcross Hospital,
2011,," NorfoldŒRoad,ŒPewnnfields,ŒW‰óton"," Norfold Road, Pewnnfields, W‰óton",
2011,,NorthŒStreet,North Street,
2011,,NorthŒStreet,North Street,
2011,,NorthŒStreet,North Street,
2011,,NorthŒStreet,North Street,
2011,,NorthŒStreet,North Street,
2011,,NorthŒStreetŒTownŒCentreŒWolverhampton,North Street Town Centre Wolverhampton,
2011,," NorthwoodŒParkŒRoad,ŒWolves."," Northwood Park Road, Wolves.",
2011,,O/sŒGrapesŒPHŒŒMoseleyŒRoad,O/s Grapes PH  Moseley Road,
2011,,O/sŒOceanaŒBilstonŒstreetŒ.,O/s Oceana Bilston street .,
2011,," OustideŒYates,ŒWolverhampton"," Oustide Yates, Wolverhampton",
2011,,outsdieŒyates'ŒwineŒbarŒwolverhampton,outsdie yates' wine bar wolverhampton,
2011,," OutsideŒSubwayŒSandwichŒShop,ŒQueensŒSquare,ŒWolverhampton"," Outside Subway Sandwich Shop, Queens Square, Wolverhampton",
2011,,OutsideŒtheŒŒAvondale,Outside the  Avondale,
2011,,OutsideŒtheŒIndieŒBarŒŒ.,Outside the Indie Bar  .,
2011,," OutsideŒYates,ŒNorthŒStreet,ŒWolverhampton"," Outside Yates, North Street, Wolverhampton",
2011,,OwenŒRoad,Owen Road,
2011,,ParkfieldŒRd,Parkfield Rd,
2011,,PennŒRoad,Penn Road,
2011,," PennŒRoad,ŒWolves"," Penn Road, Wolves",
2011,,PipersŒRowŒWolverhampton,Pipers Row Wolverhampton,
2011,," PipersŒRow,ŒWolverhampton"," Pipers Row, Wolverhampton",
2011,," PipersŒRow,ŒW'ton."," Pipers Row, W'ton.",
2011,," PowellŒSt,Œwoolverhampton"," Powell St, woolverhampton",
2011,,PrestwoodŒRoad,Prestwood Road,
2011,,PricessŒStreet,Pricess Street,
2011,,PricessŒStreet,Pricess Street,
2011,," PrinceŒCharlesŒPub,Bushbury"," Prince Charles Pub,Bushbury",
2011,," PrincessŒSt,ŒWton"," Princess St, Wton",
2011,,princessŒstreet,princess street,
2011,,princessŒstreet,princess street,
2011,,PrincessŒStreet,Princess Street,
2011,,PrincessŒStreet,Princess Street,
2011,,PrincessŒStreet,Princess Street,
2011,," PrincessŒStreet,Walsall"," Princess Street,Walsall",
2011,,prinesŒSt,prines St,
2011,," ProbertŒRoad,ŒWton"," Probert Road, Wton",
2011,," ProsserŒSt,ŒWolves"," Prosser St, Wolves",
2011,,ProsserŒStreet,Prosser Street,
2011,,ProwellŒSt,Prowell St,
2011,," QueenŒSq,ŒWton"," Queen Sq, Wton",
2011,,QueenŒSquare,Queen Square,
2011,,queenŒsquare,queen square,
2011,,QueenŒSquare,Queen Square,
2011,," QueenŒSquare,ŒWolverhampton"," Queen Square, Wolverhampton",
2011,," QueenŒSquare,ŒWolverhampton"," Queen Square, Wolverhampton",
2011,," QueenŒSquare,ŒWton"," Queen Square, Wton",
2011,," QueenŒSqusre,ŒCityŒCentre,ŒWolverhampton"," Queen Squsre, City Centre, Wolverhampton",
2011,,QueenŒSt,Queen St,
2011,,QueenŒSt,Queen St,
2011,,QueenŒStŒWolverhampton,Queen St Wolverhampton,
2011,,QueenŒStŒWolverhampton,Queen St Wolverhampton,
2011,,QueenŒStŒWolverhampton,Queen St Wolverhampton,
2011,,QueenŒSt/MarketŒStŒWolverhampton,Queen St/Market St Wolverhampton,
2011,,QueenŒSt/MarketŒStreetŒŒjunction,Queen St/Market Street  junction,
2011,,QueenŒStreet,Queen Street,
2011,,QueenŒStreet,Queen Street,
2011,,QueenŒStreet,Queen Street,
2011,,QueenŒStreet,Queen Street,
2011,,QueenŒStreet,Queen Street,
2011,," QueenŒStreet,Œwolverhampton"," Queen Street, wolverhampton",
2011,," QueenŒStreet,ŒWolverhampton"," Queen Street, Wolverhampton",
2011,," QueenŒStreet,ŒWolverhampton"," Queen Street, Wolverhampton",
2011,," QueenŒStreet,Œw‰óton"," Queen Street, w‰óton",
2011,," QueensŒSquare,ŒWolverhampton"," Queens Square, Wolverhampton",
2011,," QUEENSŒSQUARE,ŒWOLVERHAMPTON"," QUEENS SQUARE, WOLVERHAMPTON",
2011,,QueensŒStreet,Queens Street,
2011,,RearŒofŒCivicŒCentreŒWolverhampton,Rear of Civic Centre Wolverhampton,
2011,,RingŒRoad,Ring Road,
2011,," RingŒRoadŒStŒGeorges,ŒWolves."," Ring Road St Georges, Wolves.",
2011,," RoyalŒLondonŒP/H,WolvesŒCityŒcentre."," Royal London P/H,Wolves City centre.",
2011,,SainsburysŒStŒGeorges,Sainsburys St Georges,
2011,," SalopŒst,Œwolverhampton"," Salop st, wolverhampton",
2011,," SalopŒSt,ŒWolves."," Salop St, Wolves.",
2011,," SchoolŒSt,ŒWton"," School St, Wton",
2011,,SchoolŒStreet,School Street,
2011,,SchoolŒStreet,School Street,
2011,," SchoolŒStreet,Œw‰óton"," School Street, w‰óton",
2011,," SchoolŒStreet,ŒW'ton."," School Street, W'ton.",
2011,,ShowellŒCircus,Showell Circus,
2011,," stŒGeorgesŒparade,Œwolverhampton"," st Georges parade, wolverhampton",
2011,," StŒGeorgesŒParade,ŒWolverhampton"," St Georges Parade, Wolverhampton",
2011,," staffordŒroad,Œwolverhampton"," stafford road, wolverhampton",
2011,,StaffordŒSt,Stafford St,
2011,," StaffordŒSt,ŒWton"," Stafford St, Wton",
2011,,StaffordŒStreet,Stafford Street,
2011,,StaffordŒStreet,Stafford Street,
2011,," StaffordŒStreet,ŒWolverhampton."," Stafford Street, Wolverhampton.",
2011,," SteelŒParkŒLane,ŒWton"," Steel Park Lane, Wton",
2011,,SubwayŒunderŒtrafficŒislandŒatŒjunctionŒofŒRingŒRoadŒandŒBilstonŒStreet,Subway under traffic island at junction of Ring Road and Bilston Street,
2011,," SweetmanŒStreet,ŒWton"," Sweetman Street, Wton",
2011,,TempleŒSt,Temple St,
2011,,TettenhallŒRoad,Tettenhall Road,
2011,,tettenhallŒRoad,tettenhall Road,
2011,," TheŒVarsity,ŒCityŒCentre"," The Varsity, City Centre",
2011,,ThornleyŒStreet,Thornley Street,
2011,,TowerŒStreet,Tower Street,
2011,," TrainŒStation,ŒWolverhampton"," Train Station, Wolverhampton",
2011,,TrysullŒRoad,Trysull Road,
2011,," VicarageŒRoad,ŒWton"," Vicarage Road, Wton",
2011,,VictoriaŒRoad,Victoria Road,
2011,," VictoriaŒRoad,ŒWfield,ŒWton"," Victoria Road, Wfield, Wton",
2011,," VIctoriaŒRoad,ŒWfield,Wton"," VIctoria Road, Wfield,Wton",
2011,,victoriaŒst,victoria st,
2011,,VictoriaŒStreet,Victoria Street,
2011,,VictoriaŒStreet,Victoria Street,
2011,," VictoriaŒStreet,ŒWolverhampton"," Victoria Street, Wolverhampton",
2011,," VictoriaŒStreet,ŒWolverhampton"," Victoria Street, Wolverhampton",
2011,," VictoriaŒStreet,ŒW‰óton"," Victoria Street, W‰óton",
2011,," VilliersŒAvenue,ŒWolverhampton"," Villiers Avenue, Wolverhampton",
2011,,WallaceŒRd,Wallace Rd,
2011,," WallaceŒRoad,ŒBradley"," Wallace Road, Bradley",
2011,," WalsallŒSt,ŒBilston."," Walsall St, Bilston.",
2011,," WanderersŒAvenue,ŒBlakenhall"," Wanderers Avenue, Blakenhall",
2011,," WanderersŒAvenue,ŒWton"," Wanderers Avenue, Wton",
2011,," WarnfordŒWalk,ŒMerryŒHill,Œw‰óton"," Warnford Walk, Merry Hill, w‰óton",
2011,,warstonesŒdrive,warstones drive,
2011,,waterlooŒRd,waterloo Rd,
2011,,WaterlooŒRdŒWolverhampton,Waterloo Rd Wolverhampton,
2011,," WednesfieldŒHighŒStreet,ŒWolves."," Wednesfield High Street, Wolves.",
2011,,WellingtonŒRoad,Wellington Road,
2011,," WhiteŒOaksŒStreet,ŒWton"," White Oaks Street, Wton",
2011,,whitegatesŒdriveŒcoseley,whitegates drive coseley,
2011,," WillenhallŒRoad,ŒEastŒPark,ŒWolverhampton"," Willenhall Road, East Park, Wolverhampton",
2011,," WillenhallŒRoad,ŒJtnŒDeansŒRoad,ŒWton"," Willenhall Road, Jtn Deans Road, Wton",
2011,,WilliamŒHillŒMarketŒStreet,William Hill Market Street,
2011,,WolverhamptnŒTrainŒStation,Wolverhamptn Train Station,
2011,,WolverhamptonŒŒtrainŒstation,Wolverhampton  train station,
2011,,WolverhamptonŒRailwayŒStation,Wolverhampton Railway Station,
2011,,WolverhamptonŒRailwayŒStation,Wolverhampton Railway Station,
2011,,WolverhamptonŒRailwayŒStation,Wolverhampton Railway Station,
2011,,wolverhamptonŒroadŒwednesfield,wolverhampton road wednesfield,
2011,," WolverhamptonŒRoad,ŒWednesfield,ŒWton"," Wolverhampton Road, Wednesfield, Wton",
2011,,wolverhamptonŒtrainŒstation,wolverhampton train station,
2011,,wolvesŒrailwayŒstation,wolves railway station,
2011,," WoodŒEndŒRoad,ŒWednesfield"," Wood End Road, Wednesfield",
2011,," WoodlandŒAvenue,ŒTettenhallŒWood"," Woodland Avenue, Tettenhall Wood",
2011,,WoolpackŒAlley,Woolpack Alley,
2011,,WordsworthŒAvenue,Wordsworth Avenue,
2011,,WtonŒTrainŒStation,Wton Train Station,
2011,,WVŒFrontŒoffice,WV Front office,
2011,,WVFO,WVFO,
2011,,WVFO,WVFO,
2012,Birmingham,ClemenceŒroad,Clemence road,
2012,,ClemenceŒroad,Clemence road,
2012,,ClemenceŒroad,Clemence road,
2012,,ClemenceŒroad,Clemence road,
2012,,ClemenceŒroad,Clemence road,
2012,,acocksŒgreenŒpoliceŒstation,acocks green police station,
2012,,AlbertŒRoad,Albert Road,
2012,,AlcesterŒRdŒmoseley,Alcester Rd moseley,
2012,,AlcesterŒRoad,Alcester Road,
2012,,alcesterŒroad,alcester road,
2012,,ALCESTERŒROADŒMOSELEY,ALCESTER ROAD MOSELEY,
2012,,AlcesterŒRoadŒMoseley,Alcester Road Moseley,
2012,,AlcesterŒRoadŒOutsideŒCrossŒPH,Alcester Road Outside Cross PH,
2012,," AlcesterŒRoad,ŒMoseley."," Alcester Road, Moseley.",
2012,,AlecesterŒRoad,Alecester Road,
2012,,AlumŒRockŒRoad,Alum Rock Road,
2012,,AlumŒRockŒRoad,Alum Rock Road,
2012,,AlumŒRockŒRoad,Alum Rock Road,
2012,," AlumŒRockŒRoad,ŒAlumŒRock"," Alum Rock Road, Alum Rock",
2012,," BanfordŒRoad,ŒWardŒEnd"," Banford Road, Ward End",
2012,,BELCHERSŒLANE,BELCHERS LANE,
2012,,BelgraveŒMiddleŒway,Belgrave Middle way,
2012,,BelgraviaŒClose,Belgravia Close,
2012,,BENNETTSŒHILLŒCITYŒCENTRE,BENNETTS HILL CITY CENTRE,
2012,,BerkelyŒRoad,Berkely Road,
2012,," BirchleyŒRiseŒ@ŒWagonŒLane,ŒOlton"," Birchley Rise @ Wagon Lane, Olton",
2012,,BirchtreeŒDrive,Birchtree Drive,
2012,,BirminghamŒNewŒStreet,Birmingham New Street,
2012,," BirminghamŒRoad,ŒCastleŒBromwich"," Birmingham Road, Castle Bromwich",
2012,," BirminghamŒRoad,ŒSuttonŒColdfield"," Birmingham Road, Sutton Coldfield",
2012,,BistolŒRoadŒSellyŒOak,Bistol Road Selly Oak,
2012,,BlakeŒPlace.ŒBordesleyŒGreen,Blake Place. Bordesley Green,
2012,,BordesleyŒGreen,Bordesley Green,
2012,,BordesleyŒGreenŒEast,Bordesley Green East,
2012,," BordesleyŒGreenŒRoad,ŒBordesleyŒGreen"," Bordesley Green Road, Bordesley Green",
2012,,BordesleyŒGreen.,Bordesley Green.,
2012,," BordeslyŒGreen,ŒBordesleyŒGreen"," Bordesly Green, Bordesley Green",
2012,," BoscombeŒRoad,ŒTyseley,"," Boscombe Road, Tyseley,",
2012,,BournvilleŒlane,Bournville lane,
2012,,bristolŒroad,bristol road,
2012,,BristolŒRoadŒSouth,Bristol Road South,
2012,,BroadŒStreet,Broad Street,
2012,,BroadŒStreet,Broad Street,
2012,,BroadŒStreet,Broad Street,
2012,,BroadŒStreet,Broad Street,
2012,,BrookhillŒRoad,Brookhill Road,
2012,,BrooklandsŒRoad,Brooklands Road,
2012,,brunswickŒroad,brunswick road,
2012,," BULLSŒHEAD,ŒMOSELY"," BULLS HEAD, MOSELY",
2012,,CaldwellŒRoad,Caldwell Road,
2012,," ChurchŒRoad,ŒYardley"," Church Road, Yardley",
2012,," ChurchŒRoad,ŒYardley"," Church Road, Yardley",
2012,," ChurchŒRoad,ŒYewŒTree"," Church Road, Yew Tree",
2012,,ClodeshallŒRoad,Clodeshall Road,
2012,,ColeshillŒRoad,Coleshill Road,
2012,,CotterillsŒLane,Cotterills Lane,
2012,,CoventryŒŒRoad,Coventry  Road,
2012,," CoventryŒrdŒ,ŒSheldonŒ,ŒNrŒBritishŒlegionŒIvyŒLeaf."," Coventry rd , Sheldon , Nr British legion Ivy Leaf.",
2012,,CoventryŒRd.,Coventry Rd.,
2012,,CoventryŒRoad,Coventry Road,
2012,," CoventryŒRoad,ŒSmallŒHeath"," Coventry Road, Small Heath",
2012,,CranesParkŒRoad,CranesPark Road,
2012,,DaleŒEnd,Dale End,
2012,," DrewsŒLane,ŒWardŒEnd"," Drews Lane, Ward End",
2012,,ElizabethŒRoad,Elizabeth Road,
2012,," EmilyŒRoad,ŒAcocksŒGreen,ŒBirmingham"," Emily Road, Acocks Green, Birmingham",
2012,," FlaxtonŒGrove,ŒKittsŒGreen"," Flaxton Grove, Kitts Green",
2012,," FoxtonŒRoad,ŒWashwoodŒHeath"," Foxton Road, Washwood Heath",
2012,,FRONTŒOFFCIEŒKINGSŒHEATHŒPOLICEŒSTATION,FRONT OFFCIE KINGS HEATH POLICE STATION,
2012,," FrontŒOffice,ŒStechfordŒPoliceŒStation"," Front Office, Stechford Police Station",
2012,,gibbinsŒroad,gibbins road,
2012,,GilsanŒWay,Gilsan Way,
2012,,GospelŒFarmŒRoad,Gospel Farm Road,
2012,," GospelŒLane,ŒAcocksŒGreen"," Gospel Lane, Acocks Green",
2012,,GreenŒlaneŒBordesleyŒGreen,Green lane Bordesley Green,
2012,,greswoldŒroad,greswold road,
2012,,HarbourneŒRoadŒHarbourne,Harbourne Road Harbourne,
2012,," HazelvilleŒRoad,ŒŒHallŒGreen"," Hazelville Road,  Hall Green",
2012,,HeartlandsŒHospital,Heartlands Hospital,
2012,,HeartlandsŒHospital,Heartlands Hospital,
2012,,HeartlandsŒHospital,Heartlands Hospital,
2012,,HeartlandsŒhospital,Heartlands hospital,
2012,,heathfieldŒroad,heathfield road,
2012,,HerrickŒRoad,Herrick Road,
2012,,HighŒStreet,High Street,
2012,,HighŒStreetŒKingsŒHeath,High Street Kings Heath,
2012,,HighŒStreetŒSolihull,High Street Solihull,
2012,,HighfieldŒRoad,Highfield Road,
2012,,HighfieldŒRoadŒSparkŒBrook.,Highfield Road Spark Brook.,
2012,,HomeŒAddress,Home Address,
2012,,HomerŒRdŒnearŒHolidayŒInn,Homer Rd near Holiday Inn,
2012,,HorrellŒRoadŒSheldon,Horrell Road Sheldon,
2012,,IvyŒHouseŒRoadŒWestŒHeath,Ivy House Road West Heath,
2012,,JakemanŒRoad,Jakeman Road,
2012,,juniperŒclose,juniper close,
2012,,KembertonŒRoad,Kemberton Road,
